UF,media,ano
RS,21.39,2000
RJ,23.14,2000
AM,27.29,2000
BA,26.32,2000
DF,21.57,2000
BA,25.84,2001
RS,21.66,2001
SP,23.07,2001
RJ,24.92,2001
MS,24.47,2001
DF,21.69,2001
GO,22.82,2001
AM,27.41,2001
RS,19.95,2002
RJ,25.5,2002
MG,25.59,2002
AM,27.66,2002
SP,19.06,2002
MS,24.59,2002
GO,24.22,2002
DF,22.26,2002
BA,25.55,2002
MT,26.45,2002
PE,27.55,2003
GO,23.28,2003
MS,24.24,2003
MT,25.59,2003
AL,25.55,2003
BA,24.78,2003
CE,28.08,2003
MA,27.38,2003
DF,21.89,2003
SE,26.85,2003
RN,27.14,2003
SC,20.43,2003
RS,19.11,2003
PR,17.61,2003
PI,27.65,2003
RJ,24.04,2003
MG,23.19,2003
PA,26.96,2003
AM,28.62,2003
SP,20.33,2003
SC,21.26,2004
RS,19.86,2004
SP,22.45,2004
RJ,23.53,2004
MG,22.43,2004
TO,26.42,2004
PA,26.91,2004
AM,27.1,2004
SE,26.72,2004
PI,27.43,2004
PE,27.26,2004
MA,27.41,2004
BA,24.64,2004
AL,26.25,2004
MT,25.59,2004
MS,24.26,2004
GO,23.73,2004
DF,21.66,2004
RN,26.71,2004
CE,27.57,2004
PB,23.95,2004
RJ,23.79,2005
MG,21.33,2005
AM,28.99,2005
SP,22.87,2005
PR,16.58,2005
RS,19.21,2005
SC,20.4,2005
SE,27.17,2005
RN,26.48,2005
PI,28.55,2005
PE,26.01,2005
PB,23.03,2005
MA,27.75,2005
CE,28.19,2005
BA,24.64,2005
AL,26.77,2005
MT,26.06,2005
MS,24.34,2005
GO,24.24,2005
DF,21.89,2005
TO,27.3,2005
PA,27.35,2005
MG,21.7,2006
DF,21.51,2006
GO,24.1,2006
MS,25.03,2006
MT,26.1,2006
AL,26.34,2006
BA,24.43,2006
CE,28.09,2006
MA,27.42,2006
PB,23.13,2006
PE,26.04,2006
PI,27.87,2006
RN,27.02,2006
SE,27.5,2006
ES,25.05,2006
TO,27.46,2006
PA,27.4,2006
RJ,23.13,2006
SP,22.31,2006
PR,19.8,2006
RS,19.87,2006
SC,21.45,2006
AM,28.54,2006
MG,22.46,2007
SC,19.4,2007
RS,18.77,2007
PR,21.0,2007
AM,28.37,2007
RJ,22.48,2007
SE,25.31,2007
ES,24.17,2007
TO,27.11,2007
SP,22.3,2007
RN,27.83,2007
MA,27.41,2007
PE,25.42,2007
PB,24.82,2007
RO,27.02,2007
CE,27.36,2007
BA,24.67,2007
AL,25.49,2007
MT,25.73,2007
MS,24.95,2007
GO,24.74,2007
DF,22.31,2007
PI,29.64,2007
PA,27.02,2007
PB,25.42,2008
DF,22.03,2008
PE,25.21,2008
CE,27.0,2008
PI,27.54,2008
RN,27.54,2008
SE,25.0,2008
BA,24.53,2008
AM,27.09,2008
AP,27.05,2008
MA,27.65,2008
PA,27.21,2008
TO,26.75,2008
ES,23.22,2008
MG,22.21,2008
RJ,21.99,2008
AL,25.85,2008
MT,25.54,2008
MS,24.38,2008
GO,23.96,2008
RO,26.59,2008
AC,26.43,2008
PR,20.47,2008
RS,18.57,2008
SC,17.59,2008
SP,21.68,2008
SC,18.6,2009
RS,18.78,2009
PR,21.04,2009
SP,22.28,2009
RJ,23.06,2009
MG,22.51,2009
ES,24.18,2009
TO,26.6,2009
RO,26.1,2009
PA,27.04,2009
AP,26.06,2009
AM,27.39,2009
AC,25.84,2009
RN,27.36,2009
DF,21.83,2009
GO,24.12,2009
MS,24.43,2009
SE,26.0,2009
AL,26.26,2009
MT,25.62,2009
CE,26.72,2009
MA,27.19,2009
PB,25.58,2009
PE,25.62,2009
PI,27.35,2009
BA,25.34,2009
RO,26.66,2010
RR,28.59,2010
TO,27.31,2010
ES,23.95,2010
SC,18.37,2010
RJ,22.69,2010
SP,22.09,2010
PR,20.82,2010
RS,18.66,2010
PA,27.58,2010
MG,22.43,2010
AM,27.58,2010
PB,26.04,2010
SE,25.76,2010
RN,28.16,2010
PI,28.2,2010
PE,25.72,2010
MA,27.96,2010
CE,27.96,2010
BA,25.12,2010
AL,26.05,2010
MT,25.89,2010
MS,24.31,2010
GO,24.42,2010
AC,25.88,2010
DF,22.18,2010
AP,26.27,2010
RS,18.59,2011
SC,18.2,2011
DF,21.68,2011
GO,23.78,2011
MS,24.29,2011
MT,25.61,2011
AL,25.7,2011
CE,26.74,2011
MA,27.25,2011
PB,25.63,2011
PE,25.39,2011
PI,27.54,2011
RN,27.27,2011
BA,24.57,2011
AC,25.55,2011
SE,25.34,2011
SP,21.68,2011
RJ,22.03,2011
MG,22.03,2011
ES,23.19,2011
TO,26.6,2011
PR,20.41,2011
RO,26.01,2011
PA,26.96,2011
AP,25.84,2011
AM,27.06,2011
RR,27.84,2011
AC,25.49,2012
SE,25.61,2012
PI,28.64,2012
PE,25.91,2012
PB,25.9,2012
MA,27.65,2012
AL,25.71,2012
BA,25.21,2012
MT,25.67,2012
MS,24.7,2012
GO,24.19,2012
CE,27.92,2012
DF,22.02,2012
RN,27.91,2012
PA,27.02,2012
AP,26.06,2012
SC,19.1,2012
RS,19.45,2012
PR,21.22,2012
